"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega32U2-AU";;;
2;"D8,D7,D6,D5,D4,D3,D2,D1";"D_SOD-123";8;"D_Small";;;
3;"MX8,MX7,MX6,MX5,MX4,MX3,MX2,MX1";"MXOnly-1U-NoLED";8;"MX-NoLED";;;
4;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_Pad";4;"MountingHole_Pad";;;
5;"Y1";"Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm";1;"16MHz";;;
6;"SW1";"SKQG-1155865";1;"SW_Push";;;
7;"R6,R1";"R_0805_2012Metric";2;"10k";;;
8;"R5,R4";"R_0805_2012Metric";2;"5.1k";;;
9;"R3,R2";"R_0805_2012Metric";2;"22";;;
10;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
11;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
12;"C5";"C_0805_2012Metric";1;"10uF";;;
13;"C4";"C_0805_2012Metric";1;"0.1uF";;;
14;"C1";"C_0805_2012Metric";1;"1uF";;;
